,num_authors,type,method,num_training,train_path,test_path,top_1,top_5,top_10,top_100,auroc_1,auroc_2,auroc_3,tpr,fpr
4a6c7ef6-a399-45c2-9b89-4e119f6a8b3f,100,intra_context,SAR_eli5,2,data/processed_eli5_250.csv,data/processed_eli5_250.csv,0.01,0.04,0.1,1,,,,,
42ae30d2-570b-41e2-aca7-0cdc4529a81d,100,cross_context,SAR_eli5,2,data/processed_eli5_250.csv,data/processed_eli5_250.csv,0,0,0,1,,,,,
4c79766d-4f9b-441b-9ea7-c97565ea81cf,100,intra_context,SAR_eli5,2,data/processed_eli5_250.csv,data/processed_eli5_250.csv,0.02,0.1,0.16,1,,,,,
32aa6fd9-c9ef-4b39-9621-8b39e2b11fb0,100,cross_context,SAR_eli5,2,data/processed_eli5_250.csv,data/processed_eli5_250.csv,0,0,0,1,,,,,
4e3ded62-4093-49f7-9e71-4056ecf18e2c,100,intra_context,SAR_eli5,2,data/processed_eli5_250.csv,data/processed_eli5_250.csv,0.02,0.08,0.14,1,,,,,
ddb6ef51-24cc-4955-b2a3-9d48573cae5e,100,cross_context,SAR_eli5,2,data/processed_eli5_250.csv,data/processed_eli5_250.csv,0,0,0,1,,,,,
d25642ae-ab76-4363-93e7-83240da67ad9,100,intra_context,SAR_eli5,2,data/processed_eli5_250.csv,data/processed_eli5_250.csv,0.01,0.08,0.12,1,,,,,
1a8eab96-d66b-4c2b-aabd-05f654f55f50,100,cross_context,SAR_eli5,2,data/processed_eli5_250.csv,data/processed_eli5_250.csv,0,0,0,1,,,,,
cd20a188-ad32-4752-a419-1f2c3e8ea83d,100,intra_context,SAR_eli5,2,data/processed_eli5_250.csv,data/processed_eli5_250.csv,0.01,0.04,0.1,1,,,,,
6ef0336b-ccbe-46e0-b6db-c61451148316,100,cross_context,SAR_eli5,2,data/processed_eli5_250.csv,data/processed_eli5_250.csv,0,0.006666667,0.013333333,1,,,,,
43027e06-d8e4-429f-8e06-a87e03010a8c,100,intra_context,SAR_eli5,5,data/processed_eli5_250.csv,data/processed_eli5_250.csv,0.04,0.15,0.21,1,,,,,
70556121-841b-4696-93d9-0a2f79236826,100,cross_context,SAR_eli5,5,data/processed_eli5_250.csv,data/processed_eli5_250.csv,0.02,0.068888889,0.122222222,1,,,,,
d35326ae-b1aa-4e7b-acbf-95a300da1134,100,intra_context,SAR_eli5,5,data/processed_eli5_250.csv,data/processed_eli5_250.csv,0.12,0.22,0.28,1,,,,,
ea951b97-19d0-4b12-b704-8190e5863883,100,cross_context,SAR_eli5,5,data/processed_eli5_250.csv,data/processed_eli5_250.csv,0.033333333,0.08,0.148888889,1,,,,,
3559353f-c331-4881-8102-1e39733ab905,100,intra_context,SAR_eli5,5,data/processed_eli5_250.csv,data/processed_eli5_250.csv,0.04,0.13,0.22,1,,,,,
d4343cc5-cabd-428b-9ec5-5c00c8c911cc,100,cross_context,SAR_eli5,5,data/processed_eli5_250.csv,data/processed_eli5_250.csv,0.026666667,0.086666667,0.146666667,1,,,,,
f71b454d-d30b-4a15-9869-e623c7c89b7a,100,intra_context,SAR_eli5,5,data/processed_eli5_250.csv,data/processed_eli5_250.csv,0.06,0.17,0.24,1,,,,,
36b3e579-7f4b-4d04-8712-0dfecd8236ab,100,cross_context,SAR_eli5,5,data/processed_eli5_250.csv,data/processed_eli5_250.csv,0.015555556,0.077777778,0.131111111,1,,,,,
b5323277-da0a-46e9-ad9a-84ae1345ef60,100,intra_context,SAR_eli5,5,data/processed_eli5_250.csv,data/processed_eli5_250.csv,0.05,0.15,0.18,1,,,,,
d3a68680-01de-4785-8a8a-aee1265fd0bf,100,cross_context,SAR_eli5,5,data/processed_eli5_250.csv,data/processed_eli5_250.csv,0.046666667,0.126666667,0.173333333,1,,,,,
6a7141b7-fa9f-4082-bc92-a74719bcc910,100,intra_context,SAR_eli5,10,data/processed_eli5_250.csv,data/processed_eli5_250.csv,0.15,0.3,0.43,1,,,,,
6848c0fc-ac16-4828-90b8-2d1d6846bf3f,100,cross_context,SAR_eli5,10,data/processed_eli5_250.csv,data/processed_eli5_250.csv,0.063333333,0.16,0.232222222,1,,,,,
8809a1fa-bd6b-4122-9276-8e2a448119a0,100,intra_context,SAR_eli5,10,data/processed_eli5_250.csv,data/processed_eli5_250.csv,0.12,0.26,0.39,1,,,,,
945b39f2-8f4c-49f9-9e1e-1fddfa35ed59,100,cross_context,SAR_eli5,10,data/processed_eli5_250.csv,data/processed_eli5_250.csv,0.068888889,0.166666667,0.242222222,1,,,,,
c2cc8c54-cb59-4c3b-a627-58074913f17b,100,intra_context,SAR_eli5,10,data/processed_eli5_250.csv,data/processed_eli5_250.csv,0.11,0.26,0.41,1,,,,,
4395ee26-4628-4634-8c8f-d7024e6c3bc3,100,cross_context,SAR_eli5,10,data/processed_eli5_250.csv,data/processed_eli5_250.csv,0.062222222,0.17,0.231111111,1,,,,,
f8817f42-154b-4843-9102-80927875b070,100,intra_context,SAR_eli5,10,data/processed_eli5_250.csv,data/processed_eli5_250.csv,0.11,0.29,0.36,1,,,,,
927a50a3-3919-4118-a52b-1ad9bb4d0961,100,cross_context,SAR_eli5,10,data/processed_eli5_250.csv,data/processed_eli5_250.csv,0.066666667,0.164444444,0.247777778,1,,,,,
af163797-e0e8-48dd-ba82-545e0a0fdd4c,100,intra_context,SAR_eli5,10,data/processed_eli5_250.csv,data/processed_eli5_250.csv,0.14,0.29,0.38,1,,,,,
fd86350d-5ae9-4a7b-8527-3a47e2427f58,100,cross_context,SAR_eli5,10,data/processed_eli5_250.csv,data/processed_eli5_250.csv,0.071111111,0.193333333,0.275555556,1,,,,,
accda0c3-3243-4ff8-a0bb-2ca0d4f9b6e8,100,intra_context,SAR_eli5,15,data/processed_eli5_250.csv,data/processed_eli5_250.csv,0.14,0.325,0.475,1,,,,,
084e450c-a089-4940-9d3e-2a015bb6a7f1,100,cross_context,SAR_eli5,15,data/processed_eli5_250.csv,data/processed_eli5_250.csv,0.081538462,0.198461538,0.286923077,1,,,,,
9f91f89a-9458-4eb8-95d0-cae5cc351c92,100,intra_context,SAR_eli5,15,data/processed_eli5_250.csv,data/processed_eli5_250.csv,0.17,0.325,0.405,1,,,,,
5e51821b-5789-4ffa-ab3a-611d642a34b0,100,cross_context,SAR_eli5,15,data/processed_eli5_250.csv,data/processed_eli5_250.csv,0.102307692,0.220769231,0.297692308,1,,,,,
9ba9c11f-5833-436e-809f-454fbd5dde8d,100,intra_context,SAR_eli5,15,data/processed_eli5_250.csv,data/processed_eli5_250.csv,0.18,0.34,0.45,1,,,,,
bffa8663-ab04-4513-8bc7-078024193c09,100,cross_context,SAR_eli5,15,data/processed_eli5_250.csv,data/processed_eli5_250.csv,0.091538462,0.217692308,0.293846154,1,,,,,
441be610-e43e-40cb-9ceb-99e2ad7c7d90,100,intra_context,SAR_eli5,15,data/processed_eli5_250.csv,data/processed_eli5_250.csv,0.165,0.325,0.42,1,,,,,
2c25607d-f285-4915-bc00-f489b7968bed,100,cross_context,SAR_eli5,15,data/processed_eli5_250.csv,data/processed_eli5_250.csv,0.080769231,0.215384615,0.288461538,1,,,,,
7f9ed7ad-60a5-46d9-9377-01e3bee2e477,100,intra_context,SAR_eli5,15,data/processed_eli5_250.csv,data/processed_eli5_250.csv,0.17,0.38,0.465,1,,,,,
8ae593e1-fcc6-4fdc-9d72-c75a9ea77a4c,100,cross_context,SAR_eli5,15,data/processed_eli5_250.csv,data/processed_eli5_250.csv,0.083076923,0.224615385,0.310769231,1,,,,,
1f19703f-4570-436f-bd6e-c479cba017a2,100,intra_context,SAR_eli5,20,data/processed_eli5_250.csv,data/processed_eli5_250.csv,0.225,0.41,0.53,1,,,,,
657058b0-a963-4776-aa49-1c1b40ea5266,100,cross_context,SAR_eli5,20,data/processed_eli5_250.csv,data/processed_eli5_250.csv,0.098181818,0.247878788,0.350909091,1,,,,,
