,num_authors,type,method,num_training,train_path,test_path,top_1,top_5,top_10,top_100,auroc_1,auroc_2,auroc_3,tpr,fpr
43406d4d-e04d-4c67-91b8-5a2cc10fec4d,100,intra_context,SAR_gaming,2,data/processed_gaming.csv,data/processed_gaming.csv,0.02,0.13,0.17,1,,,,,
782cf3cf-9ae7-490f-aefa-07f0e184576a,100,cross_context,SAR_gaming,2,data/processed_gaming.csv,data/processed_gaming.csv,0,0,0,1,,,,,
896f8ee8-cb6c-4796-a266-54cea15b93de,100,intra_context,SAR_gaming,2,data/processed_gaming.csv,data/processed_gaming.csv,0.01,0.07,0.16,1,,,,,
20bccb34-c5a0-42bb-906f-cf233dda0536,100,cross_context,SAR_gaming,2,data/processed_gaming.csv,data/processed_gaming.csv,0,0,0,1,,,,,
cd8278d1-9cca-4a62-98ef-6ede61b883c8,100,intra_context,SAR_gaming,2,data/processed_gaming.csv,data/processed_gaming.csv,0.02,0.05,0.14,1,,,,,
82baf160-6811-400a-beeb-8274f61b51b5,100,cross_context,SAR_gaming,2,data/processed_gaming.csv,data/processed_gaming.csv,0,0,0,1,,,,,
1a92addc-4c98-4dde-ba40-f7dfa8df6e13,100,intra_context,SAR_gaming,2,data/processed_gaming.csv,data/processed_gaming.csv,0.02,0.06,0.13,1,,,,,
64aaddb5-04e1-4ad0-8d85-3b4dd8ede2c6,100,cross_context,SAR_gaming,2,data/processed_gaming.csv,data/processed_gaming.csv,0,0,0,1,,,,,
501c47df-9841-4281-9596-0bad50c25310,100,intra_context,SAR_gaming,2,data/processed_gaming.csv,data/processed_gaming.csv,0.03,0.11,0.16,1,,,,,
3336f27c-b6aa-4e40-93cf-d693cf1ca082,100,cross_context,SAR_gaming,2,data/processed_gaming.csv,data/processed_gaming.csv,0,0.013333333,0.013333333,1,,,,,
eafcc729-ca3f-4308-9ff6-fa0993ceb702,100,intra_context,SAR_gaming,5,data/processed_gaming.csv,data/processed_gaming.csv,0.07,0.16,0.23,1,,,,,
f06e0016-cd52-40c9-8a8e-2512ba539bac,100,cross_context,SAR_gaming,5,data/processed_gaming.csv,data/processed_gaming.csv,0.033333333,0.122222222,0.18,1,,,,,
