,num_authors,type,method,num_training,train_path,test_path,top_1,top_5,top_10,top_100,auroc_1,auroc_2,auroc_3,tpr,fpr
d5bcccfd-6f39-47aa-b385-2322f4df6633,100,intra_context,SAR2_news,2,data/processed_news.csv,data/processed_news.csv,0.135,0.37,0.47,1,1,0.525583387,0.525583387,0.296296296,0.832369942
65afea89-9fe0-46e0-b8ca-17f1d3f698c5,100,cross_context,SAR2_news,2,data/processed_news.csv,data/news_50_processed_subs.csv,0.100502513,0.261306533,0.376884422,1,1,0.737988827,0.737988827,0.65,0.474860335
0571f23d-f7f7-46b7-9502-2d44720d1375,100,intra_context,SAR2_news,2,data/processed_news.csv,data/processed_news.csv,0.115,0.355,0.49,1,1,0.588798821,0.588798821,0.391304348,0.728813559
3f6f43d5-d3ec-46bb-8c4e-9326f734e355,100,cross_context,SAR2_news,2,data/processed_news.csv,data/news_50_processed_subs.csv,0.136363636,0.247474747,0.353535354,1,1,0.656703487,0.656703487,0.407407407,0.573099415
14180047-f3c5-444e-aa28-a18d54b7ccc8,100,intra_context,SAR2_news,2,data/processed_news.csv,data/processed_news.csv,0.175,0.325,0.47,1,1,0.626147186,0.626147186,0.428571429,0.763636364
04a4ae17-059b-41e4-b82e-f73eb5db8fc0,100,cross_context,SAR2_news,2,data/processed_news.csv,data/news_50_processed_subs.csv,0.08040201,0.211055276,0.35678392,1,1,0.62397541,0.62397541,0.375,0.754098361
fec55678-c32a-439f-b20b-7a06e089e000,100,intra_context,SAR2_news,2,data/processed_news.csv,data/processed_news.csv,0.135,0.33,0.45,1,1,0.639905802,0.639905802,0.481481481,0.624277457
b0d00950-3ad8-4633-8098-0460ff1a3192,100,cross_context,SAR2_news,2,data/processed_news.csv,data/news_50_processed_subs.csv,0.090452261,0.251256281,0.366834171,1,1,0.640883978,0.640883978,0.388888889,0.580110497
189dcc8c-8557-479c-ab7a-354ec50bb071,100,intra_context,SAR2_news,2,data/processed_news.csv,data/processed_news.csv,0.12,0.315,0.42,1,1,0.737215909,0.737215909,0.458333333,0.409090909
a9a5db1e-9f51-4204-bc8f-b51747523362,100,cross_context,SAR2_news,2,data/processed_news.csv,data/news_50_processed_subs.csv,0.090452261,0.221105528,0.331658291,1,1,0.599447514,0.599447514,0.222222222,0.657458564
cfe95735-d8ce-4591-91b5-100a1ac9ab91,100,intra_context,SAR2_news,5,data/processed_news.csv,data/processed_news.csv,0.28,0.525,0.65,1,1,0.649553571,0.649553571,0.428571429,0.618055556
6f6a06a7-b7dc-4ec9-aec6-d796bf084e0d,100,cross_context,SAR2_news,5,data/processed_news.csv,data/news_50_processed_subs.csv,0.175983437,0.430641822,0.565217391,1,1,0.658321017,0.658321017,0.364705882,0.570351759
