,num_authors,type,method,num_training,train_path,test_path,top_1,top_5,top_10,top_100,auroc_1,auroc_2,auroc_3,tpr,fpr
55538e80-00a7-485e-809f-a5365322e6bd,100,intra_context,SAR_todayilearned,2,data/processed_todayilearned.csv,data/processed_todayilearned.csv,0.04,0.1,0.14,1,,,,,
dba75f7a-b7fb-4c98-aa03-e01aabb819c4,100,cross_context,SAR_todayilearned,2,data/processed_todayilearned.csv,data/processed_todayilearned.csv,0,0,0,1,,,,,
4b30ca67-bcdd-42b4-acee-3f6685c8fa34,100,intra_context,SAR_todayilearned,2,data/processed_todayilearned.csv,data/processed_todayilearned.csv,0.02,0.06,0.13,1,,,,,
3d69ea85-cc1d-4211-a8b5-4ca0feb14db0,100,cross_context,SAR_todayilearned,2,data/processed_todayilearned.csv,data/processed_todayilearned.csv,0,0,0.013333333,1,,,,,
c1c9ca88-c189-45d5-a9db-1e276f55c221,100,intra_context,SAR_todayilearned,2,data/processed_todayilearned.csv,data/processed_todayilearned.csv,0.02,0.07,0.12,1,,,,,
b36ece3c-8cd5-4416-8ed7-e3e672572625,100,cross_context,SAR_todayilearned,2,data/processed_todayilearned.csv,data/processed_todayilearned.csv,0,0,0,1,,,,,
11743b68-ba60-422c-847c-55e1af54c9c9,100,intra_context,SAR_todayilearned,2,data/processed_todayilearned.csv,data/processed_todayilearned.csv,0.05,0.08,0.14,1,,,,,
d6c5a8b1-1eaf-4ea9-8ab9-98af863b18dc,100,cross_context,SAR_todayilearned,2,data/processed_todayilearned.csv,data/processed_todayilearned.csv,0,0.013333333,0.026666667,1,,,,,
460092a9-8f88-4ffe-8112-f49c546240e5,100,intra_context,SAR_todayilearned,2,data/processed_todayilearned.csv,data/processed_todayilearned.csv,0.03,0.09,0.13,1,,,,,
4c3f6d4e-5b9e-4e94-8545-b7acc027c4bd,100,cross_context,SAR_todayilearned,2,data/processed_todayilearned.csv,data/processed_todayilearned.csv,0.006666667,0.013333333,0.013333333,1,,,,,
0e6ebf3f-303b-4c10-aa6f-b72f7d059341,100,intra_context,SAR_todayilearned,5,data/processed_todayilearned.csv,data/processed_todayilearned.csv,0.09,0.22,0.29,1,,,,,
264dfe8d-2ae4-4dbc-8f19-530485061f28,100,cross_context,SAR_todayilearned,5,data/processed_todayilearned.csv,data/processed_todayilearned.csv,0.04,0.122222222,0.206666667,1,,,,,
001afc3d-77fa-4975-ad98-9ec630205b2b,100,intra_context,SAR_todayilearned,5,data/processed_todayilearned.csv,data/processed_todayilearned.csv,0.06,0.11,0.21,1,,,,,
de3df140-c85c-4a87-bf10-50c68bc181f8,100,cross_context,SAR_todayilearned,5,data/processed_todayilearned.csv,data/processed_todayilearned.csv,0.042222222,0.113333333,0.162222222,1,,,,,
67ba3dbd-4cbd-4cc3-93dc-4bd8726e5f5a,100,intra_context,SAR_todayilearned,5,data/processed_todayilearned.csv,data/processed_todayilearned.csv,0.16,0.21,0.26,1,,,,,
437ed508-8a2c-45e7-ba2d-72b4ebebc035,100,cross_context,SAR_todayilearned,5,data/processed_todayilearned.csv,data/processed_todayilearned.csv,0.062222222,0.144444444,0.191111111,1,,,,,
57b13609-619b-44a2-9979-445fe6cb3028,100,intra_context,SAR_todayilearned,5,data/processed_todayilearned.csv,data/processed_todayilearned.csv,0.11,0.23,0.31,1,,,,,
b070beb7-8ec6-4e03-883c-5bf335ce8f1b,100,cross_context,SAR_todayilearned,5,data/processed_todayilearned.csv,data/processed_todayilearned.csv,0.053333333,0.124444444,0.195555556,1,,,,,
38165d57-a902-46bf-9641-93e04c1432a8,100,intra_context,SAR_todayilearned,5,data/processed_todayilearned.csv,data/processed_todayilearned.csv,0.1,0.24,0.29,1,,,,,
5aa4c88d-245d-4bac-b462-204fa0a1bb24,100,cross_context,SAR_todayilearned,5,data/processed_todayilearned.csv,data/processed_todayilearned.csv,0.062222222,0.14,0.211111111,1,,,,,
d6bb3f5a-edd1-4357-82e2-11ce3fb14d56,100,intra_context,SAR_todayilearned,10,data/processed_todayilearned.csv,data/processed_todayilearned.csv,0.17,0.32,0.4,1,,,,,
89cdbdbe-cee9-4a55-a642-e115bbd9231f,100,cross_context,SAR_todayilearned,10,data/processed_todayilearned.csv,data/processed_todayilearned.csv,0.085882353,0.209411765,0.291764706,1,,,,,
eabdf1c3-f525-4cd7-8b01-917e66a7bf1d,100,intra_context,SAR_todayilearned,10,data/processed_todayilearned.csv,data/processed_todayilearned.csv,0.1,0.25,0.38,1,,,,,
2f4c826d-35ed-4fd0-b650-c47fd87655cc,100,cross_context,SAR_todayilearned,10,data/processed_todayilearned.csv,data/processed_todayilearned.csv,0.08,0.184705882,0.281176471,1,,,,,
938d4430-6859-4c35-8f2d-b07b792e2f44,100,intra_context,SAR_todayilearned,10,data/processed_todayilearned.csv,data/processed_todayilearned.csv,0.1,0.31,0.4,1,,,,,
7defcae4-fb69-448e-a2f1-04dcf029a6a6,100,cross_context,SAR_todayilearned,10,data/processed_todayilearned.csv,data/processed_todayilearned.csv,0.108235294,0.230588235,0.304705882,1,,,,,
cf93f056-3c85-4f2f-8a4c-af69127e36da,100,intra_context,SAR_todayilearned,10,data/processed_todayilearned.csv,data/processed_todayilearned.csv,0.17,0.26,0.44,1,,,,,
