,num_authors,type,method,num_training,train_path,test_path,top_1,top_5,top_10,top_100,auroc_1,auroc_2,auroc_3,tpr,fpr
b6670780-8281-475c-9910-64cd2451d86d,100,intra_context,SAR2_worldnews,2,data/processed_worldnews.csv,data/processed_worldnews.csv,0.145,0.38,0.5,1,1,0.755595886,0.755595886,0.620689655,0.467836257
a863b87a-611e-480b-bc35-fcd8b2ff5e32,100,cross_context,SAR2_worldnews,2,data/processed_worldnews.csv,data/worldnews_50_processed_subs.csv,0.111111111,0.257575758,0.328282828,1,1,0.729597107,0.729597107,0.409090909,0.443181818
4bcba625-cb26-4e0b-a9da-877bc40012c9,100,intra_context,SAR2_worldnews,2,data/processed_worldnews.csv,data/processed_worldnews.csv,0.12,0.3,0.43,1,1,0.7578125,0.7578125,0.5,0.352272727
ed9de403-e2f1-485b-818b-fbcde6d3d0a8,100,cross_context,SAR2_worldnews,2,data/processed_worldnews.csv,data/worldnews_50_processed_subs.csv,0.124352332,0.248704663,0.367875648,1,1,0.576676529,0.576676529,0.333333333,0.686390533
9898d24d-ba4e-4b50-b1a6-413800f075da,100,intra_context,SAR2_worldnews,2,data/processed_worldnews.csv,data/processed_worldnews.csv,0.11,0.325,0.46,1,1,0.673646578,0.673646578,0.454545455,0.58988764
99fbc531-4f79-499d-b5e3-bbfb2cec1dfa,100,cross_context,SAR2_worldnews,2,data/processed_worldnews.csv,data/worldnews_50_processed_subs.csv,0.100502513,0.261306533,0.346733668,1,1,0.60027933,0.60027933,0.35,0.636871508
6f4a6f5c-0c01-45c0-a0bc-5767b4b0df9e,100,intra_context,SAR2_worldnews,2,data/processed_worldnews.csv,data/processed_worldnews.csv,0.14,0.395,0.545,1,1,0.648255814,0.648255814,0.5,0.784883721
133c65fb-8a9f-4ba1-8e5d-0fb7197d4970,100,cross_context,SAR2_worldnews,2,data/processed_worldnews.csv,data/worldnews_50_processed_subs.csv,0.111111111,0.272727273,0.424242424,1,1,0.587809917,0.587809917,0.272727273,0.767045455
f893e2a5-40b3-48b3-9b7d-d5df371b5b44,100,intra_context,SAR2_worldnews,2,data/processed_worldnews.csv,data/processed_worldnews.csv,0.175,0.38,0.535,1,1,0.758441558,0.758441558,0.6,0.43030303
83b1d32d-9e00-4cb1-896f-15146328aeb9,100,cross_context,SAR2_worldnews,2,data/processed_worldnews.csv,data/worldnews_50_processed_subs.csv,0.121212121,0.292929293,0.398989899,1,1,0.565373563,0.565373563,0.333333333,0.770114943
101f224d-288f-44f0-95ff-077f10dfee55,100,intra_context,SAR2_worldnews,5,data/processed_worldnews.csv,data/processed_worldnews.csv,0.305,0.55,0.695,1,1,0.738530487,0.738530487,0.62295082,0.676258993
1be67dea-6a6b-4029-b17a-ffe4344b7bfa,100,cross_context,SAR2_worldnews,5,data/processed_worldnews.csv,data/worldnews_50_processed_subs.csv,0.190082645,0.409090909,0.54338843,1,1,0.578554791,0.578554791,0.304347826,0.760204082
03807893-86ed-4a86-92e7-83756c69eb4f,100,intra_context,SAR2_worldnews,5,data/processed_worldnews.csv,data/processed_worldnews.csv,0.395,0.635,0.775,1,1,0.780730202,0.780730202,0.696202532,0.41322314
58c7a32c-17b0-4168-9980-5acd6ad72030,100,cross_context,SAR2_worldnews,5,data/processed_worldnews.csv,data/worldnews_50_processed_subs.csv,0.162162162,0.361746362,0.494802495,1,1,0.734332252,0.734332252,0.512820513,0.454094293
